Результат расчета с распределением uniform
X:-126.320 Y:-136.067 Z:-138.350  
X:-153.052 Y:-158.164 Z:-150.511  
X:-548.874 Y:188.623 Z:114.418  
X:167.030 Y:233.747 Z:185.450  
X:201.421 Y:182.976 Z:170.440  
X:150.552 Y:135.430 Z:116.273  
X:102.201 Y:84.757 Z:69.230  
X:57.396 Y:41.792 Z:27.937  
X:20.058 Y:0.000 Z:-23.522  
X:-27.100 Y:-38.057 Z:-55.417  
X:-64.076 Y:-77.192 Z:-91.474  
X:-94.051 Y:-104.072 Z:-123.429  
X:-133.018 Y:-141.279 Z:-152.320  
X:-156.830 Y:-156.306 Z:-170.895  
X:-180.700 Y:-592.462 Z:166.218  
X:141.874 Y:206.473 Z:242.651  
X:274.045 Y:233.569 Z:208.882  
X:189.685 Y:167.429 Z:147.513  
X:128.314 Y:110.699 Z:92.455  
X:76.923 Y:60.107 Z:48.521  
X:45.759 Y:23.930 Z:0.000  
X:-26.546 Y:-23.343 Z:-47.220  
X:-63.064 Y:-73.969 Z:-87.302  
X:-97.748 Y:-112.327 Z:-123.597  
X:-127.203 Y:-134.520 Z:-135.743  
X:-143.437 Y:-166.278 Z:-175.837  
X:-204.029 Y:-230.043 Z:-687.216  
X:128.850 Y:171.057 Z:234.153  
X:289.124 Y:330.980 Z:260.410  
X:226.922 Y:199.387 Z:173.717  
X:147.788 Y:94.211 Z:94.958  
X:100.480 Y:101.646 Z:94.116  
X:77.790 Y:50.325 Z:21.033  
X:0.000 Y:-27.696 Z:-26.226  
X:-42.048 Y:-55.897 Z:-70.937  
X:-85.988 Y:-102.933 Z:-103.686  
X:-138.432 Y:-146.386 Z:-143.098  
X:-138.641 Y:-146.722 Z:-176.574  
X:-213.387 Y:-230.478 Z:-252.431  
X:-658.807 Y:372.356 Z:194.543  
X:236.115 Y:282.772 Z:482.051  
X:320.738 Y:257.079 Z:207.775  
X:156.893 Y:164.112 Z:161.701  
X:163.290 Y:152.988 Z:141.527  
X:128.536 Y:77.397 Z:45.276  
X:22.127 Y:0.000 Z:-27.122  
X:-31.929 Y:-54.008 Z:-74.845  
X:-92.176 Y:-102.336 Z:-121.456  
X:-127.630 Y:-138.006 Z:-144.720  
X:-167.211 Y:-163.475 Z:-174.951  
X:-191.445 Y:-216.135 Z:-246.855  
X:-281.099 Y:-683.081 Z:257.455  
X:185.532 Y:243.186 Z:319.713  
X:294.316 Y:302.831 Z:283.424  
X:260.103 Y:245.646 Z:243.033  
X:227.743 Y:223.223 Z:181.652  
X:125.349 Y:99.529 Z:67.829  
X:45.937 Y:22.191 Z:0.000  
X:-23.050 Y:-37.828 Z:-64.233  
X:-87.316 Y:-111.226 Z:-128.362  
